CustomerID,CustomerName,Region,SignupDate,NumTransactions,TotalQuantity,TotalSpent,Cluster
C0062,Jeffery Hartman,Europe,2022-12-14,3,8,1639.54,0
C0063,Wayne Ferguson,Europe,2024-02-05,2,5,1378.1699999999998,0
C0064,Martha Montgomery,Europe,2023-10-22,5,13,4039.77,0
C0065,Gerald Hines,North America,2024-07-10,10,27,7663.7,1
C0066,Catherine White,Europe,2024-11-15,3,9,3799.2799999999997,0
C0067,Carl Gonzalez,North America,2023-07-06,6,14,4090.84,1
C0068,Mark Cox,North America,2023-04-04,8,22,5950.42,1
C0069,Stacy Foster,Europe,2023-12-03,5,10,2878.69,0
C0070,Timothy Perez,Europe,2022-03-15,4,12,3125.49,0
C0071,Taylor Murphy,South America,2022-07-01,3,7,1400.83,0
C0072,Sarah Scott,North America,2024-07-24,5,13,2999.59,0
C0073,Heidi Johnson,Europe,2022-08-20,3,10,2060.54,0
C0074,Jonathan Russo,Europe,2022-05-27,3,8,3055.2200000000003,0
C0075,Misty Higgins,Europe,2023-05-01,9,28,5848.97,1
C0076,Emily Roberts,South America,2024-02-11,5,11,2333.06,0
C0077,Scott Sims,South America,2023-10-18,3,7,837.3,0
C0078,Julia Palmer,Asia,2024-11-13,1,2,995.52,0
C0079,Brian Murillo,North America,2022-02-02,4,12,4251.5599999999995,0
C0080,David Gonzalez,Asia,2024-02-07,1,3,1007.52,0
C0081,Kimberly Turner,Europe,2024-02-24,6,14,3542.48,1
C0082,Aimee Taylor,South America,2022-05-13,7,23,7572.91,1
C0083,Christina Stark,South America,2022-04-07,3,4,642.8,0
C0084,Belinda Garner,Asia,2024-09-17,9,20,4441.1,1
C0085,Richard Brown,South America,2024-09-22,3,7,2598.33,0
C0086,Stephanie Peterson,Europe,2022-09-18,5,13,2754.68,0
C0087,Travis Campbell,South America,2024-04-11,7,22,6604.23,1
C0088,Carlos Murray,Asia,2023-05-14,5,10,2135.38,0
C0089,Paul Carter,Europe,2024-04-02,2,7,2556.2200000000003,0
C0090,Charles Hamilton,Asia,2023-10-17,7,16,4138.16,1
C0091,Lisa Kirk,South America,2023-03-16,6,20,3137.66,1
C0092,Jacqueline Zamora,Asia,2024-05-29,4,10,3015.95,0
C0093,Nancy Walker,Asia,2024-07-13,9,19,5294.99,1
C0094,Emily Trevino,North America,2023-09-16,4,9,1166.97,0
C0095,William Walker,South America,2023-03-04,2,5,1284.27,0
C0096,Benjamin Mcclure,South America,2022-11-18,5,16,6072.92,1
C0097,Tina Ford,Asia,2023-12-18,1,1,137.54,0
C0098,Laura Gilbert,North America,2024-10-21,8,14,3158.02,1
C0099,Rodney Eaton,South America,2023-01-29,8,21,6715.72,1
C0100,Clinton Gomez,Europe,2023-03-16,6,14,5003.45,1
C0101,Kelsey Roberts,Asia,2023-09-30,8,20,5550.99,1
C0102,Michael Atkinson,South America,2022-09-16,8,21,6132.360000000001,1
C0103,Jennifer Munoz,Europe,2022-05-15,5,7,2462.5499999999997,0
C0104,Laura Bennett,South America,2022-02-10,8,21,6579.1,1
C0105,Ryan Hampton,Europe,2024-11-11,6,16,4807.45,1
C0106,Amanda Mcguire,Asia,2022-09-22,5,13,2939.3,0
C0107,Dana Cantrell,South America,2023-02-07,5,12,3623.92,0
C0108,David Davis,South America,2022-09-28,7,16,4848.54,1
C0109,Abigail Jones,North America,2022-05-09,11,32,5487.25,1
C0110,Elizabeth Wells,Asia,2024-09-21,1,4,942.32,0
C0111,Roger David,Europe,2024-11-13,5,16,1973.02,0
C0112,Brian Adkins,South America,2022-07-07,3,8,1959.51,0
C0113,Joseph Ortiz Jr.,South America,2022-06-17,8,22,4812.1,1
C0114,Benjamin Anderson,Europe,2024-11-18,5,18,5780.43,1
C0115,Joshua Hamilton,Asia,2024-11-11,3,8,3137.18,0
C0116,James Martinez,North America,2024-09-11,6,11,2758.6800000000003,0
C0117,Jeffrey Mcmahon,North America,2024-11-22,4,12,4028.2700000000004,0
C0118,Jacob Holt,South America,2022-01-22,6,10,3434.77,0
C0119,David Armstrong,Europe,2023-11-13,5,6,1191.61,0
C0120,Francisco Diaz,South America,2023-01-13,3,9,2470.02,0
C0121,Mark Atkinson,Europe,2023-07-23,4,8,974.52,0
C0122,Corey Ruiz,North America,2022-05-06,7,17,5072.55,1
C0123,Jason Johnston,Asia,2023-11-05,2,4,1400.06,0
C0124,Lindsay Perez,Europe,2024-08-26,7,19,4264.33,1
C0125,Nicholas Taylor,North America,2022-12-18,4,10,2973.96,0
C0126,Caitlin Brown,South America,2024-02-20,6,13,4565.57,1
C0127,Kathryn Stevens,Europe,2024-04-04,6,11,3232.88,0
C0128,Henry Leach,Asia,2023-05-29,2,3,773.19,0
C0129,Marcus Livingston,South America,2024-04-14,3,9,2339.61,0
C0130,Robert Jones,South America,2023-04-19,1,2,601.36,0
C0131,Scott Wilson,North America,2022-06-05,3,7,1943.82,0
C0132,Lisa Jackson,Europe,2023-02-01,3,8,1851.2599999999998,0
C0133,Gwendolyn Carter,South America,2023-03-11,4,11,2884.33,0
C0134,Theresa Gonzalez,Asia,2022-02-19,5,16,2679.28,0
C0135,Toni Weaver,Europe,2022-08-23,4,10,3135.58,0
C0136,Kristen Holder,Asia,2024-03-14,6,21,4298.99,1
C0137,Robert Gardner,South America,2024-04-09,5,11,3332.55,0
C0138,Cynthia Clayton,Asia,2024-11-01,5,17,5610.25,1
C0139,Ricky Gutierrez,North America,2022-03-14,8,13,3703.64,1
C0140,Gregory Estrada,Asia,2023-07-01,2,5,1888.1399999999999,0
C0141,Paul Parsons,Europe,2023-02-23,10,27,10673.869999999999,1
C0142,Nicole Long DVM,Asia,2024-02-08,4,11,2239.04,0
C0143,Brian Parker,Asia,2024-05-27,7,21,6044.63,1
C0144,Andrea Hart,North America,2024-09-30,2,8,1304.6799999999998,0
C0145,Wayne Stone,Asia,2023-01-13,8,20,5771.27,1
C0146,Brittany Harvey,Asia,2024-09-04,4,8,2570.8,0
C0147,Hunter Fuller,South America,2022-05-16,9,14,2948.44,1
C0148,Matthew Rogers,South America,2023-04-16,5,18,5457.79,1
C0149,Tina Wilson,Europe,2023-01-21,5,15,4404.78,1
C0150,Angela Williams,South America,2022-09-13,1,2,580.34,0
C0151,Amber Gonzalez,South America,2024-11-22,1,4,223.96,0
C0152,Justin Evans,South America,2022-04-19,5,10,3385.8599999999997,0
C0153,Justin Smith,South America,2022-03-20,6,17,4744.79,1
C0154,Robert Sharp,North America,2024-10-27,6,11,3703.61,0
C0155,Michelle Brown,South America,2023-03-23,7,17,5377.83,1
C0156,William Adams,North America,2023-08-19,11,28,7634.45,1
C0157,Miguel Wong,North America,2024-01-30,5,10,1876.1,0
C0158,Wendy Browning,South America,2023-04-12,4,9,3716.52,0
C0159,Austin Miller,Asia,2022-08-06,3,8,2072.41,0
C0160,Jodi Cook,North America,2022-04-05,5,14,2926.93,0
C0161,Jessica Warren,Asia,2022-03-14,8,14,3141.83,1
C0162,Edwin Watson,Asia,2022-03-29,8,20,4802.24,1
C0163,Tiffany Cain,South America,2023-06-08,6,19,5775.28,1
C0164,Morgan Perez,Europe,2023-06-01,5,10,3087.69,0
C0165,Juan Mcdaniel,South America,2022-04-09,9,30,6708.1,1
C0166,John Rogers,Europe,2022-02-13,4,11,2405.3500000000004,0
C0167,Brandy Welch,Europe,2024-01-27,3,8,2300.42,0
C0168,Karen Clements MD,South America,2022-12-13,4,12,5053.83,0
C0169,Jennifer Shaw,South America,2023-04-13,6,20,4533.32,1
C0170,Logan Harris,Europe,2023-09-13,5,15,4931.74,1
C0171,Michael Cowan,South America,2022-12-16,5,15,5145.35,1
C0172,Jamie Webb,Europe,2024-09-09,6,10,2201.7,0
C0173,Francisco Young,Asia,2022-10-06,8,20,5808.04,1
C0174,Tracy Steele,South America,2022-11-03,5,12,2891.95,0
C0175,Matthew Johnson,Asia,2022-04-16,10,26,6210.53,1
C0176,Nicole Booth,North America,2022-03-23,3,12,2331.32,0
C0177,Julia Kelly,Asia,2024-06-01,4,9,2509.81,0
C0178,Carol Williams,Asia,2023-11-19,4,9,2708.83,0
C0179,Donald Miller,Europe,2022-10-16,6,14,3652.83,1
C0181,Alexander Barker,South America,2023-11-16,6,15,3347.6000000000004,1
C0182,Joshua Preston,Europe,2024-12-28,5,17,4980.7699999999995,1
C0183,Kimberly Johnson,North America,2024-01-23,5,12,3850.2200000000003,0
C0184,Tina Jacobs,South America,2022-05-13,7,11,3393.1800000000003,1
C0185,Kathleen Logan,North America,2023-10-17,3,9,3424.3199999999997,0
C0186,Amber Alexander,Asia,2023-10-11,3,7,1761.6399999999999,0
C0187,Kayla Kelly,South America,2024-08-02,5,11,4612.44,0
C0188,Anna Ball,South America,2022-05-17,8,21,7111.320000000001,1
C0189,Sherri Dixon,North America,2024-01-22,5,11,2643.21,0
C0190,Alexander Lowe,South America,2024-05-31,5,14,2983.02,0
C0191,Samantha Gibson DVM,South America,2024-04-07,5,11,2997.9700000000003,0
C0192,Sarah Arias,South America,2022-09-15,4,8,2072.7200000000003,0
C0193,Douglas Torres,Asia,2023-02-03,4,11,3009.2900000000004,0
C0194,Stacy Cook,North America,2024-05-04,7,14,3869.17,1
C0195,Jeremy Mclaughlin,South America,2024-09-17,6,17,4036.27,1
C0196,Laura Watts,Europe,2022-06-07,4,12,4982.88,0
C0197,Christina Harvey,Europe,2023-03-21,3,9,1928.65,0
C0198,Rebecca Ray,Europe,2022-02-27,2,3,931.83,0
C0199,Andrea Jenkins,Europe,2022-12-03,4,9,1979.28,0
C0200,Kelly Cross,Asia,2023-06-11,5,16,4758.6,1
